=== MATCH SCHEDULE FOR SATURDAY ===
06:45 PM - 06:55 PM | BXD51  | Court 10
06:45 PM - 07:10 PM | DWS29  | Court 11
06:45 PM - 07:10 PM | DWS30  | Court 12
06:45 PM - 07:10 PM | CMS125 | Court 5
06:45 PM - 07:10 PM | CMS126 | Court 7
06:45 PM - 07:10 PM | CWS13  | Court 8
06:50 PM - 07:15 PM | CWS14  | Court 13
06:50 PM - 07:15 PM | AWS6   | Court 6
06:50 PM - 07:15 PM | BMS29  | Court 1
06:50 PM - 07:15 PM | DMS125 | Court 14
06:50 PM - 07:15 PM | DMS126 | Court 15
06:50 PM - 07:15 PM | CXD61  | Court 16
06:50 PM - 07:15 PM | CXD62  | Court 17
06:50 PM - 07:15 PM | DXD61  | Court 18
06:50 PM - 07:15 PM | DXD62  | Court 19
06:55 PM - 07:20 PM | BMS30  | Court 2
06:55 PM - 07:20 PM | BXD29  | Court 3
06:55 PM - 07:20 PM | BXD30  | Court 4
06:55 PM - 07:05 PM | DWS52  | Court 9
06:55 PM - 07:05 PM | DWS53  | Court 10
07:05 PM - 07:15 PM | BWS10  | Court 9
07:05 PM - 07:15 PM | BWS11  | Court 10
07:10 PM - 07:35 PM | AXD13  | Court 5
07:10 PM - 07:35 PM | AXD14  | Court 7
07:10 PM - 07:35 PM | AMS13  | Court 8
07:10 PM - 07:20 PM | CMS220 | Court 11
07:10 PM - 07:20 PM | CMS221 | Court 12
07:15 PM - 07:40 PM | AMS14  | Court 6
07:15 PM - 07:25 PM | CWS24  | Court 13
07:15 PM - 07:25 PM | CWS25  | Court 14
07:15 PM - 07:25 PM | AWS9   | Court 1
07:15 PM - 07:25 PM | AWS10  | Court 9
07:15 PM - 07:25 PM | BMS52  | Court 15
